# bag_unix_ns,px4_us,x_north_m,y_east_m,z_down_m,vx_mps,vy_mps,vz_mps
1.788595739210057984e+18,1.788595730623504000e+15,-4.258701205253601074e-02,1.178158074617385864e-02,4.975199699401855469e-04,-1.488566747866570950e-03,-1.843800535425543785e-03,-1.080020912922918797e-03
1.788595739229811968e+18,1.788595730639504000e+15,-4.267891123890876770e-02,1.194574218243360519e-02,3.535002470016479492e-04,-1.471057883463799953e-03,-1.738569466397166252e-03,-1.171394484117627144e-03
1.788595739296409088e+18,1.788595730663504000e+15,-4.280026629567146301e-02,1.219914946705102921e-02,1.123249530792236328e-04,-1.469624112360179424e-03,-1.530198147520422935e-03,-1.277817529626190662e-03
1.788595739356263936e+18,1.788595730679504000e+15,-4.287406057119369507e-02,1.236504688858985901e-02,-2.919137477874755859e-05,-1.487141358666121960e-03,-1.420458778738975525e-03,-1.367685734294354916e-03
1.788595739375875072e+18,1.788595730703504000e+15,-4.293316230177879333e-02,1.261668745428323746e-02,-2.629458904266357422e-04,-1.454259851016104221e-03,-1.337212510406970978e-03,-1.329016056843101978e-03
1.788595739442146560e+18,1.788595730719504000e+15,-4.295477271080017090e-02,1.278682798147201538e-02,-4.235059022903442383e-04,-1.453884411603212357e-03,-1.196717726998031139e-03,-1.332144136540591717e-03
1.788595739461639424e+18,1.788595730743504000e+15,-4.296218976378440857e-02,1.304556336253881454e-02,-6.618499755859375000e-04,-1.400698558427393436e-03,-9.949670638889074326e-04,-1.447585993446409702e-03
1.788595739529593088e+18,1.788595730759504000e+15,-4.294524714350700378e-02,1.321762520819902420e-02,-8.246749639511108398e-04,-1.294397283345460892e-03,-8.538892725482583046e-04,-1.531073939986526966e-03
1.788595739604116736e+18,1.788595730783504000e+15,-4.288880154490470886e-02,1.347329467535018921e-02,-1.080840826034545898e-03,-1.179478014819324017e-03,-7.313792011700570583e-04,-1.653465093113481998e-03
1.788595739609338880e+18,1.788595730799504000e+15,-4.284777492284774780e-02,1.366956625133752823e-02,-1.281321048736572266e-03,-1.119141816161572933e-03,-5.532753420993685722e-04,-1.857795636169612408e-03
1.788595739665189888e+18,1.788595730823504000e+15,-4.278788715600967407e-02,1.396497897803783417e-02,-1.595169305801391602e-03,-1.059169648215174675e-03,-4.081329097971320152e-04,-1.951886224560439587e-03
1.788595739685032448e+18,1.788595730839504000e+15,-4.274738952517509460e-02,1.417236682027578354e-02,-1.825869083404541016e-03,-9.575222502462565899e-04,-3.160313353873789310e-04,-2.111239125952124596e-03
1.788595739748719616e+18,1.788595730863504000e+15,-4.268172755837440491e-02,1.447069924324750900e-02,-2.212718129158020020e-03,-9.414603700861334801e-04,-1.656661333981901407e-04,-2.247621305286884308e-03
1.788595739810707968e+18,1.788595730879504000e+15,-4.263762012124061584e-02,1.466120500117540359e-02,-2.471774816513061523e-03,-9.962954791262745857e-04,7.100043148966506124e-06,-2.260262845084071159e-03
1.788595739830666752e+18,1.788595730903504000e+15,-4.258445650339126587e-02,1.490256283432245255e-02,-2.910241484642028809e-03,-1.016950118355453014e-03,8.643311593914404511e-05,-2.447068691253662109e-03
1.788595739903398912e+18,1.788595730919504000e+15,-4.253211989998817444e-02,1.505088619887828827e-02,-3.203406929969787598e-03,-8.875115890987217426e-04,2.020007232204079628e-04,-2.574760932475328445e-03
1.788595739923949312e+18,1.788595730943504000e+15,-4.242908582091331482e-02,1.525580324232578278e-02,-3.664538264274597168e-03,-8.036856306716799736e-04,2.151313092326745391e-04,-2.677721902728080750e-03
1.788595740047550464e+18,1.788595730959504000e+15,-4.231869056820869446e-02,1.538989692926406860e-02,-3.984391689300537109e-03,-6.860521389171481133e-04,2.931268536485731602e-04,-2.741892589256167412e-03
1.788595740107997952e+18,1.788595730983504000e+15,-4.213794320821762085e-02,1.558748073875904083e-02,-4.449352622032165527e-03,-6.024030735716223717e-04,3.815341915469616652e-04,-2.908694092184305191e-03
1.788595740127218688e+18,1.788595730999504000e+15,-4.199298098683357239e-02,1.572063751518726349e-02,-4.755213856697082520e-03,-4.393057606648653746e-04,4.800733877345919609e-04,-2.985349390655755997e-03
1.788595740209550336e+18,1.788595731023504000e+15,-4.174332693219184875e-02,1.591356657445430756e-02,-5.197167396545410156e-03,-2.173787943320348859e-04,5.566077888943254948e-04,-3.188836155459284782e-03
1.788595740268646400e+18,1.788595731039504000e+15,-4.153237119317054749e-02,1.603949628770351410e-02,-5.492284893989562988e-03,-4.402439662953838706e-05,6.552295526489615440e-04,-3.322068369016051292e-03
1.788595740288981248e+18,1.788595731063504000e+15,-4.115755856037139893e-02,1.620950363576412201e-02,-5.924075841903686523e-03,2.243176131742075086e-04,7.452222052961587906e-04,-3.526256885379552841e-03
1.788595740352132608e+18,1.788595731079504000e+15,-4.089418426156044006e-02,1.631413400173187256e-02,-6.205052137374877930e-03,3.677102504298090935e-04,8.086531306616961956e-04,-3.651101142168045044e-03
1.788595740371888128e+18,1.788595731103504000e+15,-4.037539288401603699e-02,1.640579476952552795e-02,-6.593555212020874023e-03,7.929672137834131718e-04,7.992315222509205341e-04,-3.796940436586737633e-03
1.788595740436501248e+18,1.788595731119504000e+15,-4.001665115356445312e-02,1.644920185208320618e-02,-6.843015551567077637e-03,1.038802089169621468e-03,8.156994590535759926e-04,-3.956728149205446243e-03
1.788595740500026112e+18,1.788595731143504000e+15,-3.946179524064064026e-02,1.649029552936553955e-02,-7.196232676506042480e-03,1.415098668076097965e-03,9.105830104090273380e-04,-4.134815651923418045e-03
